headline,url
‘Masters of the Air’ looks to the sky to close Steven Spielberg and Tom Hanks’ WW2 trilogy,https://english.elpais.com/culture/2024-02-07/masters-of-the-air-looks-to-the-sky-to-close-steven-spielberg-and-tom-hanks-ww2-trilogy.html
How James Gandolfini’s addictions to alcohol and drugs caused chaos during filming of ‘The Sopranos’,https://english.elpais.com/culture/2024-02-07/how-james-gandolfinis-addictions-to-alcohol-and-drugs-caused-chaos-during-filming-of-the-sopranos.html
Behind the scenes with the ‘Society of the Snow’ makeup team,https://english.elpais.com/culture/2024-02-07/behind-the-scenes-with-the-society-of-the-snow-makeup-team-bayona-set-aside-the-shot-of-severed-heads-because-he-found-them-unbearable.html
Felicity Huffman returns to acting after the college admissions scandal that landed her in jail: ‘It’s sort of like your old life died and you died with it’,https://english.elpais.com/people/2024-02-07/felicity-huffman-returns-to-acting-after-the-college-admissions-scandal-that-landed-her-in-jail-its-sort-of-like-your-old-life-died-and-you-died-with-it.html
‘Mandalorian’ actress Gina Carano sues Disney for firing her over Holocaust post ,https://english.elpais.com/people/2024-02-07/mandalorian-actress-gina-carano-sues-disney-for-firing-her-over-holocaust-post.html
"A world champion, two-spirit boxer: Everything that shouldn’t be challenging viewers about the new star of ‘True Detective’ ",https://english.elpais.com/people/2024-02-07/a-world-champion-two-spirit-boxer-everything-that-shouldnt-be-challenging-viewers-about-the-new-star-of-true-detective.html
Oscars 2024: Where to stream the nominated movies,https://english.elpais.com/culture/2024-01-26/oscars-2024-where-to-stream-the-nominated-movies.html
Live now in Los40,https://los40.us/ 
Rosalía Is Back: The Explosive Female Artist She’s Collaborating With,https://los40.us/2024/rosalia-is-back-the-explosive-female-artist-with-whom-shes-collaborating-16817.html
‘Slut-Shaming’ in Music: Female Artists Criticized for Their Sexual Expression,https://los40.us/2024/slut-shaming-in-music-female-artists-criticized-for-their-sexual-expression-16830.html
UEFA president Čeferin says he will leave in 2027 and aims testy barbs at critics ,https://english.elpais.com/sports/2024-02-08/uefa-president-ceferin-says-he-will-leave-in-2027-and-aims-testy-barbs-at-critics.html
The Paris Olympics medals are made with pieces of the Eiffel Tower ,https://english.elpais.com/sports/2024-02-08/the-paris-olympics-medals-are-made-with-pieces-of-the-eiffel-tower.html
"2026 World Cup Calendar: Matches, cities and stadiums in the US, Mexico and Canada",https://english.elpais.com/sports/2024-02-06/2026-world-cup-calendar-matches-cities-and-stadiums-in-the-us-mexico-and-canada.html
Super Bowl 2024: Where to watch and everything else you need to know,https://english.elpais.com/sports/2024-01-31/super-bowl-2024-where-to-watch-and-everything-else-you-need-to-know.html
The European countryside shows its strength,https://english.elpais.com/international/2024-02-06/the-european-countryside-shows-its-strength.html
Sebastián Piñera: The millionaire politician who liked to gamble and win,https://english.elpais.com/international/2024-02-07/sebastian-pinera-the-millionaire-politician-who-liked-to-gamble-and-win.html
Bukele in El Salvador: The era of the single party and the single leader is born,https://english.elpais.com/international/2024-02-06/bukele-expands-his-power-in-el-salvador-the-era-of-the-single-party-and-the-single-leader-is-born.html
Gaza reporter recalls captivity in Israel: ‘The worst 33 days of my life’,https://english.elpais.com/international/2024-02-07/gaza-reporter-recalls-captivity-in-israel-the-worst-33-days-of-my-life.html
EL PAÍS offers free Spanish lessons with Gymglish,https://english.elpais.com/economy-and-business/2021-11-15/el-pais-offers-free-spanish-lessons-with-gymglish.html
Republicans fail in their attempt to impeach Secretary of Homeland Security Mayorkas,https://english.elpais.com/usa/2024-02-07/republicans-fail-in-their-attempt-to-impeach-secretary-of-homeland-security-alejandro-mayorkas.html
Nikki Haley is trounced by the ‘none of these candidates’ option in Nevada’s Republican primary,https://english.elpais.com/usa/2024-02-07/nikki-haley-is-trounced-by-the-none-of-these-candidates-option-in-nevadas-republican-primary.html
The Netherlands is having trouble forming a new far-right government. Here’s why ,https://english.elpais.com/international/2024-02-07/the-netherlands-is-having-trouble-forming-a-new-far-right-government-heres-why.html
Vladimir Putin grants former Fox host Tucker Carlson his first interview with a Western broadcaster,https://english.elpais.com/international/2024-02-07/vladimir-putin-grants-former-fox-host-tucker-carlson-his-first-interview-with-a-western-broadcaster.html
